('acknowledges', 'no-tag')
('settingsOBJECTIVE', 'no-tag')
('addressing', 'no-tag')
('Tiriti', 'no-tag')
('funds', 'no-tag')
('compliance', 'no-tag')
('Family', 'no-tag')
('population’s', 'no-tag')
('gains', 'no-tag')
('Standardised', 'no-tag')
('Published', 'no-tag')
('administered', 'no-tag')
('Lead', 'no-tag')
('effects', 'no-tag')
('as', 'no-tag')
('remix', 'no-tag')
('understand', 'no-tag')
('Whānui', 'no-tag')
('›Dual', 'no-tag')
('wisdom', 'no-tag')
('towards', 'no-tag')
('guiding', 'no-tag')
('outlook', 'no-tag')
('Orakei', 'no-tag')
('comparison', 'no-tag')
('accomplished', 'no-tag')
('whole-of-system', 'no-tag')
('ō', 'no-tag')
('Relations', 'no-tag')
('originally', 'no-tag')
('people)TE', 'no-tag')
('continuity', 'no-tag')
('–2025July', 'no-tag')
('Kei', 'no-tag')
('Update', 'no-tag')
('greater', 'no-tag')
('drafting', 'no-tag')
('selected', 'no-tag')
('case', 'no-tag')
('–2025Objective', 'no-tag')
('differences', 'no-tag')
('Midlands', 'no-tag')
('knowledge', 'no-tag')
('Māori-led', 'no-tag')
('ko', 'no-tag')
('leadership', 'no-tag')
('Korowai', 'no-tag')
('Te', 'no-tag')
('along', 'no-tag')
('listed', 'no-tag')
('NZ', 'no-tag')
('Handbook', 'no-tag')
('Action', 'no-tag')
('You', 'no-tag')
('focus', 'no-tag')
('innovative', 'no-tag')
('timeframe', 'no-tag')
('distribution', 'no-tag')
('previous', 'no-tag')
('immunisation', 'no-tag')
('surveys', 'no-tag')
('Child', 'no-tag')
('Partnership', 'no-tag')
('Cabinet', 'no-tag')
('kawa', 'no-tag')
('recognised', 'no-tag')
('lofty', 'no-tag')
('others', 'no-tag')
('Seek', 'no-tag')
('rātā', 'no-tag')
('Prioritise', 'no-tag')
('Overview', 'no-tag')
('Disability', 'no-tag')
('paid', 'no-tag')
('D', 'no-tag')
('Walsh', 'no-tag')
('more', 'no-tag')
('TE', 'no-tag')
('link', 'no-tag')
('Scheme', 'no-tag')
('takitahi', 'no-tag')
('empowering', 'no-tag')
('educational', 'no-tag')
('campaign', 'no-tag')
('crucial', 'no-tag')
('Harris', 'no-tag')
('let', 'no-tag')
('food', 'no-tag')
('Setting', 'no-tag')
('ōu', 'no-tag')
('anō', 'no-tag')
('recover', 'no-tag')
('expressed', 'no-tag')
('Draft', 'no-tag')
('providers', 'no-tag')
('procedures', 'no-tag')
('so', 'no-tag')
('Outcomes', 'no-tag')
('mountain', 'no-tag')
('›Wai', 'no-tag')
('advancement', 'no-tag')
('lifestyles', 'no-tag')
('using', 'no-tag')
('COVID', 'no-tag')
('“Why', 'no-tag')
('reo', 'no-tag')
('TūKotahi', 'no-tag')
('adjust', 'no-tag')
('āori', 'no-tag')
('nature', 'no-tag')
('signing', 'no-tag')
('Unique', 'no-tag')
('youthful', 'no-tag')
('collected', 'no-tag')
('Australia', 'no-tag')
('linked', 'no-tag')
('ka', 'no-tag')
('Puni', 'no-tag')
('organisations', 'no-tag')
('Vision', 'no-tag')
('subsequent', 'no-tag')
('Review.Overview', 'no-tag')
('secure', 'no-tag')
('Accelerate', 'no-tag')
('fulfils', 'no-tag')
('article’', 'no-tag')
('give', 'no-tag')
('admissions', 'no-tag')
('Strengthen', 'no-tag')
('distinctive', 'no-tag')
('claimants', 'no-tag')
('monocultural', 'no-tag')
('Māori.HEALTHY', 'no-tag')
('rawa', 'no-tag')
('coverage', 'no-tag')
('Dr', 'no-tag')
('NGOs', 'no-tag')
('These', 'no-tag')
('whakatipu', 'no-tag')
('careers', 'no-tag')
('access', 'no-tag')
('competency', 'no-tag')
('downstream', 'no-tag')
('Continued', 'no-tag')
('any', 'no-tag')
('Responsibilities', 'no-tag')
('measured', 'no-tag')
('publication', 'no-tag')
('Oranga:', 'no-tag')
('protect', 'no-tag')
('Hauora:', 'no-tag')
('especially', 'no-tag')
('regular', 'no-tag')
('seconded', 'no-tag')
('Mai', 'no-tag')
('programme', 'no-tag')
('ethnicity', 'no-tag')
('board', 'no-tag')
('disparities', 'no-tag')
('service', 'no-tag')
('Evaluation', 'no-tag')
('cultural', 'no-tag')
('ArticlesPreamble', 'no-tag')
('dimensions', 'no-tag')
('–2025Evaluative', 'no-tag')
('screening', 'no-tag')
('Have', 'no-tag')
('true', 'no-tag')
('investment', 'no-tag')
('wealth', 'no-tag')
('academic', 'no-tag')
('actions', 'no-tag')
('launched', 'no-tag')
('they', 'no-tag')
('affect', 'no-tag')
('specific', 'no-tag')
('design', 'no-tag')
('uplift', 'no-tag')
('maunga', 'no-tag')
('Kaupapa', 'no-tag')
('Manage', 'no-tag')
('three', 'no-tag')
('essential', 'no-tag')
('through', 'no-tag')
('Hingatu', 'no-tag')
('assures', 'no-tag')
('myriad', 'no-tag')
('networks', 'no-tag')
('only', 'no-tag')
('acute', 'no-tag')
('conditions', 'no-tag')
('leadershipMāori', 'no-tag')
('ENVIRONMENTWai', 'no-tag')
('results', 'no-tag')
('tau', 'no-tag')
('experience', 'no-tag')
('choice', 'no-tag')
('death', 'no-tag')
('tangible', 'no-tag')
('Intended', 'no-tag')
('following', 'no-tag')
('empowerment', 'no-tag')
('ENGAGEMENT', 'no-tag')
('high-quality', 'no-tag')
('knowing', 'no-tag')
('idea', 'no-tag')
('Acting', 'no-tag')
('builds', 'no-tag')
('section', 'no-tag')
('comprehensive', 'no-tag')
('patients', 'no-tag')
('adapt', 'no-tag')
('strength', 'no-tag')
('Māori.Our', 'no-tag')
('sections', 'no-tag')
('I', 'no-tag')
('mano', 'no-tag')
('Science', 'no-tag')
('modifiable', 'no-tag')
('Shift', 'no-tag')
('Inquiry', 'no-tag')
('non', 'no-tag')
('act', 'no-tag')
('tangata', 'no-tag')
('Māori:', 'no-tag')
('Audience', 'no-tag')
('d', 'no-tag')
('non-governmental', 'no-tag')
('INDIVIDUALSMauri', 'no-tag')
('short', 'no-tag')
('Not', 'no-tag')
('improvements', 'no-tag')
('FOR', 'no-tag')
('Maxwell-Crawford', 'no-tag')
('current', 'no-tag')
('recent', 'no-tag')
('approach', 'no-tag')
('Foster', 'no-tag')
('AREAS', 'no-tag')
('whānau.Design', 'no-tag')
('breadth', 'no-tag')
('Journal', 'no-tag')
('Nā', 'no-tag')
('strength.)TE', 'no-tag')
('OBJECTIVE', 'no-tag')
('–2025TE', 'no-tag')
('said', 'no-tag')
('STAKEHOLDER', 'no-tag')
('koe', 'no-tag')
('number', 'no-tag')
('awarded', 'no-tag')
('offer', 'no-tag')
('centres', 'no-tag')
('standards', 'no-tag')
('Kelly', 'no-tag')
('measuring', 'no-tag')
('owned', 'no-tag')
('e', 'no-tag')
('preventing', 'no-tag')
('overview', 'no-tag')
('expression', 'no-tag')
('individuals', 'no-tag')
('Racism', 'no-tag')
('hand.’', 'no-tag')
('assisted', 'no-tag')
('Declaration', 'no-tag')
('tohutoro', 'no-tag')
('occurring', 'no-tag')
('R', 'no-tag')
('Indigenous', 'no-tag')
('commonly', 'no-tag')
('–2025Shared', 'no-tag')
('EAG', 'no-tag')
('wellbeing.…', 'no-tag')
('relation', 'no-tag')
('People', 'no-tag')
('innovation', 'no-tag')
('example', 'no-tag')
('been', 'no-tag')
('water.Adopt', 'no-tag')
('Box', 'no-tag')
('Launch', 'no-tag')
('Institutional', 'no-tag')
('racism:', 'no-tag')
('foundations', 'no-tag')
('Zealanders', 'no-tag')
('representation', 'no-tag')
('locally', 'no-tag')
('quality', 'no-tag')
('Smokefree', 'no-tag')
('fulfil', 'no-tag')
('participationEffective', 'no-tag')
('reflective', 'no-tag')
('hapū', 'no-tag')
('focusProtect', 'no-tag')
('self-determination', 'no-tag')
('Otago', 'no-tag')
('elements:', 'no-tag')
('ā-Hauora', 'no-tag')
('Results', 'no-tag')
('doing', 'no-tag')
('timely', 'no-tag')
('al', 'no-tag')
('focused', 'no-tag')
('Muriwhenua', 'no-tag')
('pathway', 'no-tag')
('efficiently', 'no-tag')
('one', 'no-tag')
('belong', 'no-tag')
('MĀORIPae', 'no-tag')
('–2025Priority', 'no-tag')
('locally-led', 'no-tag')
('kē', 'no-tag')
('whakataukī', 'no-tag')
('noho', 'no-tag')
('upon', 'no-tag')
('Advisory', 'no-tag')
('Invest', 'no-tag')
('iti', 'no-tag')
('Tuarua', 'no-tag')
('During', 'no-tag')
('final', 'no-tag')
('light', 'no-tag')
('definitions', 'no-tag')
('Training', 'no-tag')
('leads', 'no-tag')
('active', 'no-tag')
('required', 'no-tag')
('increasing', 'no-tag')
('burden', 'no-tag')
('energy', 'no-tag')
('either', 'no-tag')
('partner', 'no-tag')
('Detailed', 'no-tag')
('indicate', 'no-tag')
('Waitangi', 'no-tag')
('rd', 'no-tag')
('faced', 'no-tag')
('–2025We', 'no-tag')
('not.”', 'no-tag')
('equitable', 'no-tag')
('non-government', 'no-tag')
('system.Deliver', 'no-tag')
('Minister', 'no-tag')
('C', 'no-tag')
('Muscular', 'no-tag')
('bringing', 'no-tag')
('kaitiakitanga', 'no-tag')
('whakahaere', 'no-tag')
('www.health.govt.nz/our-work/populations/maori', 'no-tag')
('fully', 'no-tag')
('article', 'no-tag')
('PLoS', 'no-tag')
('nearly', 'no-tag')
('psychologist', 'no-tag')
('obligations', 'no-tag')
('build', 'no-tag')
('reflected', 'no-tag')
('individual', 'no-tag')
('member', 'no-tag')
('articles', 'no-tag')
('Key', 'no-tag')
('style', 'no-tag')
('This', 'no-tag')
('seven', 'no-tag')
('Cormack', 'no-tag')
('Achievements', 'no-tag')
('collaboration', 'no-tag')
('aged', 'no-tag')
('Stage', 'no-tag')
('‘In', 'no-tag')
('found', 'no-tag')
('Ko', 'no-tag')
('katoa', 'no-tag')
('all', 'no-tag')
('pro', 'no-tag')
('January', 'no-tag')
('modern', 'no-tag')
('stakeholders', 'no-tag')
('Ongoing', 'no-tag')
('www.ncbi.nlm.nih.gov/pubmed', 'no-tag')
('together', 'no-tag')
('ia', 'no-tag')
('your', 'no-tag')
('encapsulated', 'no-tag')
('licence', 'no-tag')
('few', 'no-tag')
('loss', 'no-tag')
('Enabling', 'no-tag')
('Medicine', 'no-tag')
('encourages', 'no-tag')
('considerable', 'no-tag')
('tonu', 'no-tag')
('advice', 'no-tag')
('engaging', 'no-tag')
('achievements', 'no-tag')
('treatment', 'no-tag')
('Kōkiri', 'no-tag')
('Review.Develop', 'no-tag')
('innovation).”', 'no-tag')
('eliminating', 'no-tag')
('Homelessness', 'no-tag')
('commit', 'no-tag')
('THREADS', 'no-tag')
('aboriginal', 'no-tag')
('–4-years', 'no-tag')
('Thank', 'no-tag')
('thanks', 'no-tag')
('Working', 'no-tag')
('technologies', 'no-tag')
('nā', 'no-tag')
('Māori…', 'no-tag')
('E', 'no-tag')
('evolving', 'no-tag')
('whenua', 'no-tag')
('meaningfully', 'no-tag')
('tailored', 'no-tag')
('ORANGA', 'no-tag')
('Addiction', 'no-tag')
('call', 'no-tag')
('Mason', 'no-tag')
('affirms', 'no-tag')
('competence', 'no-tag')
('Taki', 'no-tag')
('has', 'no-tag')
('gap', 'no-tag')
('communities.Whakataukī', 'no-tag')
('Mā', 'no-tag')
('future', 'no-tag')
('water', 'no-tag')
('Māori.Prioritise', 'no-tag')
('spirituality', 'no-tag')
('Government', 'no-tag')
('Stats', 'no-tag')
('›Better', 'no-tag')
('Professor', 'no-tag')
('Routine', 'no-tag')
('traditional', 'no-tag')
('Issues', 'no-tag')
('Maiangi', 'no-tag')
('clarity', 'no-tag')
('at', 'no-tag')
('longer', 'no-tag')
('were', 'no-tag')
('Came', 'no-tag')
('whakahauoratia', 'no-tag')
('become', 'no-tag')
('English', 'no-tag')
('deliver', 'no-tag')
('Paradies', 'no-tag')
('track', 'no-tag')
('–2025OUTCOME', 'no-tag')
('Grey', 'no-tag')
('Collaboration', 'no-tag')
('HM', 'no-tag')
('uri', 'no-tag')
('variables', 'no-tag')
('shelters', 'no-tag')
('covered', 'no-tag')
('many', 'no-tag')
('rātou', 'no-tag')
('redesign', 'no-tag')
('translation', 'no-tag')
('energising', 'no-tag')
('invest', 'no-tag')
('manner', 'no-tag')
('inequities.”', 'no-tag')
('born', 'no-tag')
('eight', 'no-tag')
('FUTURES', 'no-tag')
('disabillity', 'no-tag')
('Rotorua', 'no-tag')
('named', 'no-tag')
('complex', 'no-tag')
('different', 'no-tag')
('decision-makers', 'no-tag')
('enabler', 'no-tag')
('values', 'no-tag')
('›Accelerate', 'no-tag')
('norms', 'no-tag')
('requires', 'no-tag')
('equity', 'no-tag')
('As', 'no-tag')
('drafted', 'no-tag')
('KEY', 'no-tag')
('needed', 'no-tag')
('face', 'no-tag')
('have', 'no-tag')
('pūmau', 'no-tag')
('Whaia', 'no-tag')
('Institute', 'no-tag')
('written', 'no-tag')
('collective', 'no-tag')
('ā-Rongoā', 'no-tag')
('already', 'no-tag')
('Tahu', 'no-tag')
('cross-agency', 'no-tag')
('›Planning', 'no-tag')
('–2025PHOTO', 'no-tag')
('Whetū', 'no-tag')
('regularly', 'no-tag')
('works', 'no-tag')
('links', 'no-tag')
('Medical', 'no-tag')
('Ara', 'no-tag')
('view', 'no-tag')
('Durie', 'no-tag')
('totality', 'no-tag')
('background', 'no-tag')
('assessing', 'no-tag')
('Crowns', 'no-tag')
('very', 'no-tag')
('motuhake', 'no-tag')
('tini', 'no-tag')
('›Iwi', 'no-tag')
('relationships', 'no-tag')
('Obama', 'no-tag')
('delivered', 'no-tag')
('social', 'no-tag')
('performing', 'no-tag')
('McBreen', 'no-tag')
('building', 'no-tag')
('referred', 'no-tag')
('papa', 'no-tag')
('Māori.Implement', 'no-tag')
('maximise', 'no-tag')
('comparing', 'no-tag')
('recognises', 'no-tag')
('pervasive', 'no-tag')
('safety', 'no-tag')
('Aotearoa', 'no-tag')
('necessary', 'no-tag')
('Families', 'no-tag')
('aspects', 'no-tag')
('long', 'no-tag')
('Co-constructing', 'no-tag')
('realisation', 'no-tag')
('relative', 'no-tag')
('staff', 'no-tag')
('affirm', 'no-tag')
('fosters', 'no-tag')
('success', 'no-tag')
('made.PRIORITY', 'no-tag')
('increase', 'no-tag')
('basis', 'no-tag')
('leaders', 'no-tag')
('K', 'no-tag')
('guided', 'no-tag')
('›Every', 'no-tag')
('office', 'no-tag')
('non-PacificThe', 'no-tag')
('avoidable', 'no-tag')
('inclusion', 'no-tag')
('designers', 'no-tag')
('H', 'no-tag')
('She', 'no-tag')
('both', 'no-tag')
('further', 'no-tag')
('Tikanga', 'no-tag')
('authority', 'no-tag')
('–2025Applying', 'no-tag')
('long-term', 'no-tag')
('Number', 'no-tag')
('contributionsTreaty', 'no-tag')
('evidence-based', 'no-tag')
('contributions', 'no-tag')
('wellbeing…', 'no-tag')
('Insights', 'no-tag')
('address', 'no-tag')
('entities', 'no-tag')
('Initial', 'no-tag')
('monitors', 'no-tag')
('mā', 'no-tag')
('aroha', 'no-tag')
('tō', 'no-tag')
('usual', 'no-tag')
('Mārama', 'no-tag')
('Tool', 'no-tag')
('›Transparent', 'no-tag')
('INDIVIDUALS', 'no-tag')
('stages', 'no-tag')
('non-Māori/non-Pacific', 'no-tag')
('services.Support', 'no-tag')
('environment.’', 'no-tag')
('At', 'no-tag')
('Crown’s', 'no-tag')
('root', 'no-tag')
('updating', 'no-tag')
('mana:', 'no-tag')
('Māori.”', 'no-tag')
('out', 'no-tag')
('ways', 'no-tag')
('agency', 'no-tag')
('risk', 'no-tag')
('Development', 'no-tag')
('sustainability', 'no-tag')
('natural', 'no-tag')
('than', 'no-tag')
('Differences', 'no-tag')
('obesity', 'no-tag')
('G', 'no-tag')
('levels', 'no-tag')
('driven', 'no-tag')
('by', 'no-tag')
('PhD', 'no-tag')
('a', 'no-tag')
('exchange', 'no-tag')
('Maori', 'no-tag')
('safe', 'no-tag')
('Tā', 'no-tag')
('Focus', 'no-tag')
('Zealand', 'no-tag')
('four', 'no-tag')
('complications', 'no-tag')
('didn’t', 'no-tag')
('Assessment', 'no-tag')
('strong', 'no-tag')
('Developing', 'no-tag')
('DHBs', 'no-tag')
('live', 'no-tag')
('governance', 'no-tag')
('›New', 'no-tag')
('collaborative', 'no-tag')
('align', 'no-tag')
('obliged', 'no-tag')
('level', 'no-tag')
('regional', 'no-tag')
('status', 'no-tag')
('pandemic', 'no-tag')
('perspectives', 'no-tag')
('Public', 'no-tag')
('–2025E', 'no-tag')
('While', 'no-tag')
('AR', 'no-tag')
('embedding', 'no-tag')
('whakapapa', 'no-tag')
('quantitative', 'no-tag')
('communication', 'no-tag')
('gout', 'no-tag')
('hapori', 'no-tag')
('Along', 'no-tag')
('realise', 'no-tag')
('TĀ', 'no-tag')
(':', 'no-tag')
('improved', 'no-tag')
('Denson', 'no-tag')
('environmental', 'no-tag')
('To', 'no-tag')
('timatanga', 'no-tag')
('responsive', 'no-tag')
('accelerate', 'no-tag')
('funding', 'no-tag')
('waiora', 'no-tag')
('et', 'no-tag')
('Nocon', 'no-tag')
('reduction', 'no-tag')
('community’s', 'no-tag')
('Associate', 'no-tag')
('Ngā', 'no-tag')
('direction', 'no-tag')
('–2025Aims', 'no-tag')
('determination', 'no-tag')
('function', 'no-tag')
('details', 'no-tag')
('conviction', 'no-tag')
('still', 'no-tag')
('families', 'no-tag')
('Priorities', 'no-tag')
('developmentEquity', 'no-tag')
('play', 'no-tag')
('retain', 'no-tag')
('roles', 'no-tag')
('publicly', 'no-tag')
('Wellbeing', 'no-tag')
('several', 'no-tag')
('business', 'no-tag')
('It', 'no-tag')
('providersFor', 'no-tag')
('›Improved', 'no-tag')
('Whakamaua:', 'no-tag')
('workforces', 'no-tag')
('consistent', 'no-tag')
('raise', 'no-tag')
('whāia', 'no-tag')
('agents', 'no-tag')
('middle', 'no-tag')
('future-orientated', 'no-tag')
('innovate', 'no-tag')
('much', 'no-tag')
('StewardshipIwi/Māori', 'no-tag')
('Mita', 'no-tag')
('growing', 'no-tag')
('Capital', 'no-tag')
('roadmap', 'no-tag')
('widely', 'no-tag')
('group', 'no-tag')
('Framework', 'no-tag')
('Whānau', 'no-tag')
('Achieving', 'no-tag')
('School', 'no-tag')
('implementation', 'no-tag')
('systematic', 'no-tag')
('Performance', 'no-tag')
('Māori.OBJECTIVE', 'no-tag')
('groups', 'no-tag')
('high', 'no-tag')
('[1991]', 'no-tag')
('extending', 'no-tag')
('reliable', 'no-tag')
('Asia/Pacific', 'no-tag')
('–2025OBJECTIVE', 'no-tag')
('haumaru', 'no-tag')
('controllers', 'no-tag')
('not', 'no-tag')
('Appendix', 'no-tag')
('right', 'no-tag')
('consistently', 'no-tag')
('rongoā', 'no-tag')
('be', 'no-tag')
('shifts', 'no-tag')
('underpin', 'no-tag')
('tika', 'no-tag')
('did', 'no-tag')
('models', 'no-tag')
('cross-sector', 'no-tag')
('addiction', 'no-tag')
('time', 'no-tag')
('shared', 'no-tag')
('study', 'no-tag')
('confidence', 'no-tag')
('Mahere', 'no-tag')
('good', 'no-tag')
('respected', 'no-tag')
('promoting', 'no-tag')
('–2025Pae', 'no-tag')
('leaders.”', 'no-tag')
('pūtātara', 'no-tag')
('Takahia', 'no-tag')
('thematic', 'no-tag')
('tai', 'no-tag')
('me', 'no-tag')
('Pukupuku', 'no-tag')
('kaimahi', 'no-tag')
('independence', 'no-tag')
('PHOs', 'no-tag')
('term', 'no-tag')
('outlines', 'no-tag')
('Auckland', 'no-tag')
('for', 'no-tag')
('Annual', 'no-tag')
('week', 'no-tag')
('provide', 'no-tag')
('practical', 'no-tag')
('system', 'no-tag')
('the', 'no-tag')
('›Timelines', 'no-tag')
('attitudes', 'no-tag')
('Respond', 'no-tag')
('indigenous', 'no-tag')
('Evidence', 'no-tag')
('registered', 'no-tag')
('Chin', 'no-tag')
('oraPrinciples', 'no-tag')
('will', 'no-tag')
('control', 'no-tag')
('Tangata:', 'no-tag')
('acknowledge', 'no-tag')
('insights', 'no-tag')
('their', 'no-tag')
('presents', 'no-tag')
('steward', 'no-tag')
('sense', 'no-tag')
('indigenousMana', 'no-tag')
('wider', 'no-tag')
('populationA', 'no-tag')
('those', 'no-tag')
('Suzanne', 'no-tag')
('Wellington', 'no-tag')
('professions', 'no-tag')
('outcome', 'no-tag')
('environmentsMAURI', 'no-tag')
('Nations', 'no-tag')
('evolve', 'no-tag')
('people', 'no-tag')
('community-based', 'no-tag')
('consider', 'no-tag')
('need', 'no-tag')
('advisory', 'no-tag')
('August–', 'no-tag')
('An', 'no-tag')
('University', 'no-tag')
('Whakamaua', 'no-tag')
('futures', 'no-tag')
('forms.OUTCOME', 'no-tag')
('kaiārahi', 'no-tag')
('Māori/Crown', 'no-tag')
('FAMILIESWhānau', 'no-tag')
('pātuitanga', 'no-tag')
('higher', 'no-tag')
('do', 'no-tag')
('Society', 'no-tag')
('›A', 'no-tag')
('integrity', 'no-tag')
('Bachelor’s', 'no-tag')
('since', 'no-tag')
('courses', 'no-tag')
('wellbeing', 'no-tag')
('positioned', 'no-tag')
('unmet', 'no-tag')
('Tapu', 'no-tag')
('completion', 'no-tag')
('tasked', 'no-tag')
('Progressing', 'no-tag')
('coordination', 'no-tag')
('process', 'no-tag')
('Vice', 'no-tag')
('healthy', 'no-tag')
('made', 'no-tag')
('Report', 'no-tag')
('covers', 'no-tag')
('manage', 'no-tag')
('articulated', 'no-tag')
('developmentCross-sector', 'no-tag')
('karangatanga', 'no-tag')
('narrows', 'no-tag')
('Tobias', 'no-tag')
('difference', 'no-tag')
('White', 'no-tag')
('information', 'no-tag')
('Summary', 'no-tag')
('Kaiwhakahaere-Matua', 'no-tag')
('biases', 'no-tag')
('executive', 'no-tag')
('underestimate', 'no-tag')
('potentially', 'no-tag')
('enable', 'no-tag')
('workforce', 'no-tag')
('tuohu', 'no-tag')
('done', 'no-tag')
('evaluate', 'no-tag')
('there', 'no-tag')
('References', 'no-tag')
('‘Did', 'no-tag')
('equal', 'no-tag')
('disaggregated', 'no-tag')
('voices', 'no-tag')
('outcomes', 'no-tag')
('transform', 'no-tag')
('complement', 'no-tag')
('source', 'no-tag')
('evidencePerformance', 'no-tag')
('Rates', 'no-tag')
('tools', 'no-tag')
('principle.The', 'no-tag')
('implemented', 'no-tag')
('decomposition', 'no-tag')
('serves', 'no-tag')
('inpatient', 'no-tag')
('Conversations', 'no-tag')
('redistribute', 'no-tag')
('Urban', 'no-tag')
('co', 'no-tag')
('Other', 'no-tag')
('expectations', 'no-tag')
('respond', 'no-tag')
('capital', 'no-tag')
('Over', 'no-tag')
('responsibility', 'no-tag')
('te', 'no-tag')
('documents', 'no-tag')
('exist', 'no-tag')
('poorer', 'no-tag')
('percentages', 'no-tag')
('years.Invest', 'no-tag')
('area', 'no-tag')
('whole', 'no-tag')
('establish', 'no-tag')
('Provider', 'no-tag')
('life', 'no-tag')
('methods', 'no-tag')
('contingent', 'no-tag')
('–2025Outcome', 'no-tag')
('finance', 'no-tag')
('how', 'no-tag')
('hands', 'no-tag')
('indicating', 'no-tag')
('progressing', 'no-tag')
('Lance’s', 'no-tag')
('wai', 'no-tag')
('nui', 'no-tag')
('Model', 'no-tag')
